"","species","family","status","time"
"395","Rumex_patientia","Polygonaceae","neophyte",90
"396","Sagittaria_latifolia","Alismataceae","neophyte",34
"397","Salix_acutifolia","Salicaceae","neophyte",15
"398","Salvia_aethiopis","Lamiaceae","neophyte",115
"399","Salvia_verticillata","Lamiaceae","neophyte",450
"400","Schoenoplectus_litoralis","Cyperaceae","neophyte",15
"401","Scilla_amoena","Liliaceae","neophyte",450
"402","Scilla_siberica","Liliaceae","neophyte",204
"403","Scrophularia_vernalis","Scrophulariaceae","neophyte",250
"404","Sedum_hispanicum","Crassulaceae","neophyte",140
"405","Sedum_spurium","Crassulaceae","neophyte",150
"406","Sempervivum_x_barbulatum","Crassulaceae","neophyte",133
"407","Senecio_inaequidens","Asteraceae","neophyte",111
"408","Senecio_vernalis","Asteraceae","neophyte",150
"409","Setaria_faberi","Poaceae","neophyte",2
"410","Silybum_marianum","Asteraceae","neophyte",192
"411","Sisymbrium_altissimum","Brassicaceae","neophyte",180
"412","Sisymbrium_irio","Brassicaceae","neophyte",300
"413","Sisymbrium_loeselii","Brassicaceae","neophyte",346
"414","Sisymbrium_orientale","Brassicaceae","neophyte",192
"415","Sisymbrium_volgense","Brassicaceae","neophyte",120
"416","Smyrnium_perfoliatum","Apiaceae","neophyte",150
"417","Solanum_lycopersicum","Solanaceae","neophyte",150
"418","Solanum_physalifolium","Solanaceae","neophyte",120
"419","Solanum_triflorum","Solanaceae","neophyte",106
"420","Solanum_villosum","Solanaceae","neophyte",250
"421","Solidago_canadensis","Asteraceae","neophyte",147
"422","Solidago_gigantea","Asteraceae","neophyte",141
"423","Solidago_graminifolia","Asteraceae","neophyte",152
"424","Sorbus_intermedia","Rosaceae","neophyte",192
"425","Sorghum_halepense","Poaceae","neophyte",66
"426","Spiraea_alba","Rosaceae","neophyte",337
"427","Spiraea_billardii","Rosaceae","neophyte",66
"428","Spiraea_chamaedryfolia","Rosaceae","neophyte",202
"429","Symphoricarpos_albus","Caprifoliaceae","neophyte",150
"430","Symphytum_bulbosum","Boraginaceae","neophyte",178
"431","Syringa_vulgaris","Oleaceae","neophyte",450
"432","Tanacetum_macrophyllum","Asteraceae","neophyte",217
"433","Telekia_speciosa","Asteraceae","neophyte",148
"434","Thlaspi_alliaceum","Brassicaceae","neophyte",119
"435","Torilis_nodosa","Apiaceae","neophyte",212
"436","Tragus_racemosus","Poaceae","neophyte",97
"437","Trifolium_scabrum","Fabaceae","neophyte",192
"438","Trifolium_striatum","Fabaceae","neophyte",192
"439","Typha_laxmannii","Typhaceae","neophyte",25
